평균 : 자국피인용횟수,열 레이블,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행 레이블,A01G9,A23L17,A23L7,A61K8,B01F35,B07C5,B21B15,B23K31,B23K37,B23K9,B25J19,B25J5,B25J9,B29C65,B41F33,B60N3,B62B5,B64C39,B65F1,B66F9,C04B20,C12M21,C12M37,E02B17,E04B1,E04H1,F24F6,G01C21,G01F1,G01M13,G01N21,G01R22,G01S7,G03B17,G05B13,G05B19,G05B23,G05D1,G06F16,G06F3,G06F30,G06F9,G06K7,G06N7,G06Q10,G06Q30,G06Q50,G06T17,G06T7,G07C1,G09B19,G09B23,G09B25,G09B9,H02S20,H04L12,H04L43,H04L63,H04L67,H04L69,H04L9,H04N7,H04Q1,H04W12,H04W72,H04W88,H05K13,총합계
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,2
2,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,0,,,,0,,,1.833333333,1.5,,3,,0.5,,0,,0,0,0,0,,,,,1,,,,,,3,,,,,,,,,0.961538462
3,,,,,,,0,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0.833333333,1.75,,,,,,,,7,,1.333333333,,0,,,0,0,,,,,,13,0,,,,,,,2,1.739130435
4,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,1,0,,,0,0.409090909,0.6,,,,,,,0,0.555555556,0,3,,0,,,,,,0,,,0,1,0,0,,0,,0,,,0.898550725
5,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,,,,,0,,,0,,0.888888889,4,12,,0,2,,,,0.25,4,3,,,0,,,1,0,,0,0,,0.5,,,,,,,0,,1.763636364
6,,,0,,,,,2,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,1.5,1.5,0,,,,,,,,0.75,0,0.8,,,,,,,,,,,0.5,0.666666667,,,,,,,,,0.861111111
7,,,,,1,,,,0,3,,,,,,,0,,,,,0,,,,,,,,,,,,,,0.176470588,,3,,,,,,,0,,1.75,,1,,,,,,,,,,,,,0,,,0,,,0.529411765
8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,0.105263158
9,,,,0,,1,,,,,,,,,,,,,,0,,,,,,,0,1,,,,,,,,,0,,,,,,,,1.5,,0,,,,,,,,,,,,,0,,,,0,,,,0.571428571
10,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0
11,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0.5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1
12,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,0.333333333
13,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
14,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
총합계,0,0,0,0,1,1,0,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0.5,0,0,0,0.75,0.658823529,2.05,7.5,2,0,1.75,0,0,0,1.222222222,0.8,1.647887324,0,0.333333333,0,0,0,0.666666667,0,0,0,0,0.25,2.333333333,0,0,0,0,0,0,0,2,1.040752351
